Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744248904.4093235,2025-04-10 11:35:04.409323,0.875,-19.352
1744248905.494094,2025-04-10 11:35:05.494094,0.875,-19.352
1744248906.6403363,2025-04-10 11:35:06.640336,0.883,-19.359
1744248907.7779915,2025-04-10 11:35:07.777992,0.875,-19.344
1744248908.917437,2025-04-10 11:35:08.917437,0.867,-19.344
1744248910.0158334,2025-04-10 11:35:10.015833,0.867,-19.336
1744248911.1441715,2025-04-10 11:35:11.144171,0.859,-19.32
1744248912.2801435,2025-04-10 11:35:12.280143,0.867,-19.375
1744248913.4118438,2025-04-10 11:35:13.411844,0.852,-19.375
1744248914.5333762,2025-04-10 11:35:14.533376,0.867,-19.367
1744248915.6723526,2025-04-10 11:35:15.672353,0.867,-19.367
1744248916.7803931,2025-04-10 11:35:16.780393,0.852,-19.375
1744248917.8543098,2025-04-10 11:35:17.854310,0.859,-19.422
1744248918.9274733,2025-04-10 11:35:18.927473,0.867,-19.461
1744248920.0052655,2025-04-10 11:35:20.005265,0.867,-19.453
1744248921.177716,2025-04-10 11:35:21.177716,0.875,-19.422
1744248922.3035293,2025-04-10 11:35:22.303529,0.875,-19.414
1744248923.4513597,2025-04-10 11:35:23.451360,0.867,-19.414
1744248924.5293496,2025-04-10 11:35:24.529350,0.867,-19.398
1744248925.6130855,2025-04-10 11:35:25.613086,0.867,-19.398
1744248926.7073462,2025-04-10 11:35:26.707346,0.867,-19.406
1744248927.8510723,2025-04-10 11:35:27.851072,0.859,-19.422
1744248928.9596405,2025-04-10 11:35:28.959641,0.859,-19.414
1744248930.0343525,2025-04-10 11:35:30.034353,0.859,-19.406
1744248931.1336462,2025-04-10 11:35:31.133646,0.859,-19.438
1744248932.207403,2025-04-10 11:35:32.207403,0.859,-19.438
1744248933.362684,2025-04-10 11:35:33.362684,0.859,-19.438
